time,HeartRate,Difficulty,Level
1.003479,74,0.7749169,hard
2.00591,74,0.7749169,hard
3.003808,74,0.7749169,hard
4.002039,74,0.7749169,hard
5.003131,74,0.7749169,hard
6.000776,74,0.7749169,hard
7.003899,76,0.6697345,medium
8.000306,77,0.6171433,medium
9.003476,77,0.6171433,medium
10.00017,79,0.5119609,medium
11.00812,79,0.5119609,medium
12.00815,79,0.5119609,medium
13.00572,80,0.4593697,medium
14.00857,80,0.4593697,medium
15.00079,81,0.4067785,medium
16.00104,81,0.4067785,medium
17.00245,81,0.4067785,medium
18.00871,82,0.3541873,medium
19.00699,81,0.4067785,medium
20.00387,81,0.4067785,medium
21.00567,81,0.4067785,medium
22.00176,81,0.4067785,medium
23.00624,80,0.4593697,medium
24.0041,80,0.4593697,medium
25.00175,79,0.5119609,medium
26.00388,79,0.5119609,medium
27.00888,79,0.5119609,medium
28.00547,79,0.5119609,medium
29.0029,79,0.5119609,medium
30.0001,79,0.5119609,medium
31.00431,79,0.5119609,medium
32.00124,78,0.5645521,medium
33.00243,78,0.5645521,medium
34.00695,78,0.5645521,medium
35.00768,78,0.5645521,medium
36.00628,78,0.5645521,medium
37.00089,78,0.5645521,medium
38.00603,79,0.5119609,medium
39.0053,79,0.5119609,medium
40.0029,79,0.5119609,medium
41.01015,79,0.5119609,medium
42.00566,79,0.5119609,medium
43.00655,81,0.4067785,medium
44.00215,83,0.3015961,easy
45.00325,84,0.2490049,easy
46.00562,85,0.1964137,easy
47.00587,85,0.1964137,easy
48.00447,87,0.09123132,easy
49.00152,86,0.1438225,easy
50.00214,85,0.1964137,easy
51.00499,84,0.2490049,easy
52.0038,83,0.3015961,easy
53.00493,82,0.3541873,medium
54.00419,82,0.3541873,medium
55.00193,82,0.3541873,medium
56.00324,81,0.4067785,medium
57.00043,81,0.4067785,medium
58.00119,80,0.4593697,medium
59.00541,80,0.4593697,medium
60.00624,80,0.4593697,medium
61.0065,80,0.4593697,medium
62.00468,80,0.4593697,medium
63.00324,80,0.4593697,medium
64.00328,80,0.4593697,medium
65.005,79,0.5119609,medium
66.00562,79,0.5119609,medium
67.00319,78,0.5645521,medium
68.00546,78,0.5645521,medium
69.00524,78,0.5645521,medium
70.0013,78,0.5645521,medium
71.00061,78,0.5645521,medium
72.003,78,0.5645521,medium
73.00234,78,0.5645521,medium
74.00242,78,0.5645521,medium
75.00626,78,0.5645521,medium
76.0024,78,0.5645521,medium
77.00085,79,0.5119609,medium
78.00872,80,0.4593697,medium
79.00282,81,0.4067785,medium
80.00262,81,0.4067785,medium
81.00625,81,0.4067785,medium
82.00089,80,0.4593697,medium
83.009,79,0.5119609,medium
84.00111,79,0.5119609,medium
85.00422,79,0.5119609,medium
86.00379,79,0.5119609,medium
87.001,78,0.5645521,medium
88.00457,78,0.5645521,medium
89.00605,78,0.5645521,medium
90.00087,78,0.5645521,medium
91.00023,78,0.5645521,medium
92.00014,78,0.5645521,medium
93.00076,78,0.5645521,medium
94.00502,78,0.5645521,medium
95.0046,79,0.5119609,medium
96.00278,79,0.5119609,medium
97.00593,79,0.5119609,medium
98.00189,79,0.5119609,medium
99.00044,79,0.5119609,medium
100.0023,79,0.5119609,medium
101.0036,78,0.5645521,medium
102.0025,78,0.5645521,medium
103.0051,78,0.5645521,medium
104.0045,78,0.5645521,medium
105.0068,79,0.5119609,medium
106.0058,79,0.5119609,medium
107.0031,79,0.5119609,medium
108.001,80,0.4593697,medium
109.0022,80,0.4593697,medium
110.0056,81,0.4067785,medium
111.0029,81,0.4067785,medium
112.0031,81,0.4067785,medium
113.0036,82,0.3541873,medium
114.0072,82,0.3541873,medium
115.0065,82,0.3541873,medium
116.0012,82,0.3541873,medium
117.0075,82,0.3541873,medium
118.0076,83,0.3015961,easy
119.0056,83,0.3015961,easy
120.006,83,0.3015961,easy
121.0089,84,0.2490049,easy
122.0005,84,0.2490049,easy
123.0033,84,0.2490049,easy
124.0011,84,0.2490049,easy
125.0073,84,0.2490049,easy
126.0024,86,0.1438225,easy
127.0055,87,0.09123132,easy
128.0002,89,0,easy
129.0049,91,0,easy
130.0015,94,0,easy
131.005,95,0,easy
132.0026,99,0,easy
133.0027,101,0,easy
134.007,102,0,easy
135.0006,103,0,easy
136.004,103,0,easy
137.0093,100,0,easy
138.0038,97,0,easy
139.0072,95,0,easy
140.0009,95,0,easy
141.0035,89,0,easy
142.0055,87,0.09123132,easy
143.0034,86,0.1438225,easy
144.0049,86,0.1438225,easy
145.0059,87,0.09123132,easy
146.0045,88,0.03864012,easy
147.004,91,0,easy
148.0065,92,0,easy
149.0042,93,0,easy
150.0026,93,0,easy
151.0028,93,0,easy
152.0014,91,0,easy
153.0044,90,0,easy
154.0039,89,0,easy
155.0013,89,0,easy
156.0001,86,0.1438225,easy
157.001,86,0.1438225,easy
158.0022,86,0.1438225,easy
159.0005,87,0.09123132,easy
160.0003,87,0.09123132,easy
161.0047,88,0.03864012,easy
162.0035,89,0,easy
163.0039,89,0,easy
164.0029,89,0,easy
165.0026,89,0,easy
166.0062,89,0,easy
167.0059,89,0,easy
168.0027,91,0,easy
169.0074,92,0,easy
170.0029,93,0,easy
171.0058,93,0,easy
172.0049,93,0,easy
173.0069,94,0,easy
174.0028,93,0,easy
175.0008,93,0,easy
176.002,93,0,easy
177.003,93,0,easy
178.005,93,0,easy
179.0029,93,0,easy
180.0062,92,0,easy
181.0057,92,0,easy
182.0008,91,0,easy
183.0066,91,0,easy
184.0003,90,0,easy
185.0051,90,0,easy
186.0044,89,0,easy
187.001,89,0,easy
188,88,0.03864012,easy
189.0005,87,0.09123132,easy
190.0063,86,0.1438225,easy
191.0064,86,0.1438225,easy
192.0023,85,0.1964137,easy
193.0043,85,0.1964137,easy
194.0042,85,0.1964137,easy
195.0008,85,0.1964137,easy
196.0006,85,0.1964137,easy
197.0041,84,0.2490049,easy
198.0029,84,0.2490049,easy
199.0013,83,0.3015961,easy
200.003,83,0.3015961,easy
201.0045,83,0.3015961,easy
202.0035,83,0.3015961,easy
203.0032,83,0.3015961,easy
204.0048,83,0.3015961,easy
205.0036,83,0.3015961,easy
206.0021,83,0.3015961,easy
207.0033,82,0.3541873,medium
208.0027,82,0.3541873,medium
209.0005,82,0.3541873,medium
210.0012,83,0.3015961,easy
211.004,83,0.3015961,easy
212.0047,85,0.1964137,easy
213.003,85,0.1964137,easy
214.0037,86,0.1438225,easy
215.0032,86,0.1438225,easy
216.0062,87,0.09123132,easy
217.0015,87,0.09123132,easy
218.0019,87,0.09123132,easy
219.0046,87,0.09123132,easy
220.0023,87,0.09123132,easy
221.003,86,0.1438225,easy
222.0038,86,0.1438225,easy
223.0045,86,0.1438225,easy
224.0018,86,0.1438225,easy
225.0038,86,0.1438225,easy
226.0005,86,0.1438225,easy
227.004,86,0.1438225,easy
228.0004,86,0.1438225,easy
229.0042,86,0.1438225,easy
230.0013,85,0.1964137,easy
